DATE,165523,004812,160224,003095,000977,161726,090013,163114,001631,160222,165520,167301,001302
2019-04-02,0.44%,-1.16%,-0.06%,-1.99%,0.60%,-0.80%,-0.38%,0.36%,-1.13%,-1.18%,1.80%,0.23%,1.30%
2019-04-03,0.29%,-0.43%,0.55%,-0.23%,0.95%,0.91%,0.69%,0.26%,-0.04%,-0.14%,0.10%,1.31%,0.32%
2019-04-04,0.36%,0.15%,0.01%,-0.45%,0.39%,0.03%,1.38%,0.15%,1.77%,2.17%,1.25%,1.14%,0.43%
2019-04-08,-2.73%,-1.17%,-2.18%,-1.66%,-0.36%,-1.40%,0.00%,-0.85%,0.22%,0.64%,1.34%,0.68%,0.21%
2019-04-09,0.07%,-0.23%,0.17%,1.69%,0.15%,0.54%,-0.90%,0.70%,2.01%,2.62%,-2.03%,-0.67%,-0.95%
2019-04-10,-0.52%,0.66%,-0.23%,1.21%,0.42%,1.30%,-0.53%,0.01%,1.10%,1.35%,-0.72%,-0.23%,0.86%
2019-04-11,-2.15%,-2.36%,-2.56%,-3.36%,-2.43%,-3.27%,-1.07%,-1.79%,-4.00%,-3.92%,-1.46%,-1.05%,-2.23%
2019-04-12,0.45%,-0.83%,0.23%,-0.15%,-0.29%,-0.89%,1.31%,-0.01%,-0.12%,-0.33%,-0.85%,0.08%,-2.06%
2019-04-15,-0.60%,-1.13%,-0.79%,-1.01%,-1.30%,-1.26%,-1.60%,-1.29%,-0.92%,-0.66%,-0.85%,1.29%,-0.44%
2019-04-16,3.34%,2.30%,3.32%,1.25%,1.15%,1.68%,0.31%,1.70%,1.63%,1.84%,2.80%,4.20%,1.56%
2019-04-17,-0.37%,2.55%,0.48%,0.15%,1.19%,0.41%,1.85%,1.61%,0.70%,0.62%,-0.10%,-0.50%,-0.33%
2019-04-18,-0.52%,-0.56%,-0.80%,-0.31%,-0.14%,0.02%,0.38%,-0.66%,0.45%,0.21%,-0.94%,0.51%,-0.99%
2019-04-19,1.04%,1.76%,1.46%,0.39%,0.97%,0.16%,0.23%,1.06%,0.13%,0.24%,0.42%,2.45%,0.56%
2019-04-22,-0.95%,-1.88%,-1.42%,-0.23%,-1.36%,-1.05%,-2.94%,-0.93%,-0.78%,-0.67%,-2.11%,-3.09%,-0.55%
2019-04-23,-2.59%,-1.28%,-1.43%,0.00%,-0.68%,-0.90%,-0.85%,-2.18%,1.15%,1.31%,-1.18%,-0.15%,-2.44%
2019-04-24,2.43%,0.50%,2.14%,0.62%,0.57%,1.21%,0.55%,1.43%,-0.11%,-0.24%,0.33%,-0.58%,0.46%
2019-04-25,-4.01%,-2.28%,-3.85%,0.15%,-1.89%,-1.52%,-2.10%,-3.93%,-1.75%,-1.66%,-3.04%,-1.46%,-2.04%
2019-04-26,0.31%,-1.08%,-1.19%,0.08%,-0.43%,-0.98%,-1.67%,-1.12%,-0.06%,0.01%,-1.34%,-0.59%,-1.04%
2019-04-29,-4.39%,0.36%,-2.83%,1.84%,-0.57%,-0.03%,-2.11%,-3.17%,0.94%,1.45%,-3.75%,1.12%,-3.63%
2019-04-30,-0.40%,-0.80%,0.22%,-0.45%,0.66%,-0.12%,2.56%,0.41%,0.84%,0.64%,0.35%,-0.52%,1.09%
2019-05-06,-8.42%,-5.60%,-8.19%,-4.91%,-6.11%,-6.34%,-6.69%,-6.64%,-5.96%,-6.14%,-6.11%,-5.93%,-2.76%
2019-05-07,0.53%,0.70%,1.26%,3.42%,0.89%,1.67%,-0.86%,0.50%,3.18%,2.61%,0.75%,-0.08%,-0.25%
2019-05-08,0.44%,-1.14%,-0.45%,-1.77%,-0.60%,-0.06%,-3.14%,-0.52%,-0.87%,-0.92%,0.25%,-1.89%,2.48%
2019-05-09,-0.09%,-0.47%,-1.01%,-2.66%,-0.62%,-2.92%,0.72%,-0.34%,-3.34%,-3.36%,-0.99%,-2.33%,-2.05%
2019-05-10,5.43%,4.19%,4.39%,3.61%,3.25%,3.74%,4.47%,2.80%,4.41%,4.76%,2.13%,4.44%,1.73%
2019-05-13,-1.08%,-1.79%,-2.86%,0.78%,-0.29%,-0.35%,-1.45%,-1.23%,0.53%,0.53%,-1.23%,-2.29%,-0.48%
2019-05-14,-0.59%,-0.28%,-0.64%,-0.54%,-1.02%,-0.55%,-0.26%,-0.72%,-0.95%,-0.93%,0.25%,-0.24%,1.46%
2019-05-15,1.61%,3.17%,1.79%,2.86%,2.74%,2.28%,1.83%,2.41%,4.98%,5.03%,1.24%,2.59%,0.00%
2019-05-16,-0.58%,-0.58%,-0.81%,0.98%,0.77%,2.11%,0.17%,0.80%,0.82%,0.83%,3.55%,0.00%,1.92%
2019-05-17,-2.76%,-2.75%,-3.30%,-2.23%,-2.89%,-2.70%,-2.90%,-3.33%,-2.48%,-2.57%,-3.31%,-2.05%,-3.53%
2019-05-20,2.07%,-1.35%,-0.55%,-1.90%,-1.25%,-1.82%,-4.04%,-0.73%,-1.97%,-1.88%,0.61%,-0.08%,-2.44%
2019-05-21,1.77%,1.28%,2.69%,1.32%,1.42%,2.48%,2.20%,1.83%,0.88%,0.73%,3.28%,1.13%,1.50%
2019-05-22,1.49%,0.40%,-0.20%,-0.08%,-0.52%,-0.34%,-1.25%,-0.79%,-0.57%,-0.59%,-1.53%,-0.72%,-0.37%
2019-05-23,-3.10%,-3.03%,-3.31%,-2.38%,-1.91%,-2.27%,-4.54%,-1.76%,-2.60%,-2.53%,-1.55%,-1.28%,-2.10%
2019-05-24,-2.19%,-0.20%,-0.61%,0.00%,-0.48%,0.05%,-1.33%,-0.24%,0.76%,0.98%,-0.85%,0.89%,0.13%
2019-05-27,4.22%,2.77%,3.07%,1.18%,2.09%,1.61%,4.43%,2.48%,0.76%,0.57%,2.20%,1.29%,1.39%
2019-05-28,-0.17%,0.49%,0.13%,1.63%,0.00%,0.39%,2.68%,-0.28%,1.24%,1.29%,-0.24%,0.72%,0.00%
2019-05-29,-0.41%,-0.75%,-0.31%,-0.46%,0.02%,-0.44%,0.81%,0.32%,0.26%,0.41%,1.92%,3.08%,1.25%
2019-05-30,-1.83%,-0.68%,-0.78%,0.54%,-0.55%,-0.88%,2.05%,-0.92%,-0.10%,-0.25%,0.82%,-1.15%,0.12%
2019-05-31,-0.25%,0.64%,-0.18%,1.07%,0.33%,0.64%,0.26%,0.85%,-0.78%,-0.87%,0.23%,-0.31%,2.21%
2019-06-03,-0.25%,-1.16%,-0.01%,-0.68%,-1.65%,-0.14%,-2.26%,-1.20%,-0.01%,0.22%,-1.40%,0.23%,1.32%
2019-06-04,-1.19%,-0.93%,-0.59%,-1.98%,-0.94%,-1.84%,-3.48%,-1.53%,-2.01%,-1.92%,-1.53%,-1.32%,0.12%
2019-06-05,0.60%,0.12%,0.65%,-1.94%,-0.19%,-2.55%,-2.40%,0.15%,0.06%,-0.05%,0.72%,-1.02%,2.96%
2019-06-06,-3.00%,-2.24%,-2.59%,-0.71%,-1.75%,-1.82%,-3.97%,-2.00%,-1.09%,-0.88%,-0.83%,-0.87%,-0.81%
2019-06-10,1.77%,2.14%,2.20%,1.59%,1.34%,0.98%,0.69%,0.99%,1.93%,1.99%,0.96%,1.20%,0.23%
2019-06-11,3.30%,2.18%,3.37%,3.22%,3.12%,3.35%,5.58%,3.06%,4.49%,4.79%,3.09%,1.98%,1.39%
2019-06-12,-0.84%,-1.02%,-1.08%,-0.08%,-0.95%,-0.12%,-2.13%,-0.56%,-1.20%,-1.16%,1.38%,-0.85%,3.77%
2019-06-13,0.51%,-0.25%,-0.02%,1.22%,-0.08%,0.31%,0.57%,0.55%,-0.28%,-0.32%,-0.23%,-0.08%,-0.77%
2019-06-14,-2.61%,-1.66%,-2.11%,-0.23%,-1.17%,0.64%,-2.64%,-1.89%,-0.84%,-0.57%,-0.68%,-0.70%,1.22%
2019-06-17,-0.43%,-1.01%,-0.64%,-0.90%,-0.82%,0.19%,-0.10%,-0.30%,-0.52%,-0.57%,-0.11%,0.39%,-2.19%
2019-06-18,0.35%,0.09%,0.46%,1.06%,-0.17%,0.88%,2.90%,-0.07%,0.09%,0.21%,-0.69%,0.63%,1.23%
2019-06-19,1.65%,2.35%,2.40%,0.90%,1.31%,1.20%,-0.19%,1.56%,1.06%,1.08%,0.00%,1.56%,-0.66%
2019-06-20,1.96%,1.91%,2.21%,2.46%,2.12%,1.32%,-0.09%,2.24%,3.35%,3.62%,1.74%,4.07%,2.90%
2019-06-21,2.42%,1.53%,1.96%,0.00%,1.39%,0.66%,-0.38%,1.69%,0.27%,0.10%,1.37%,-0.22%,3.36%
2019-06-24,-0.33%,0.14%,-1.13%,0.51%,0.50%,0.21%,1.33%,-0.21%,1.16%,1.17%,0.90%,0.22%,1.57%
2019-06-25,-1.23%,-0.82%,-1.18%,-0.14%,-1.10%,-0.60%,-2.90%,-0.90%,-0.05%,-0.03%,0.56%,-1.85%,5.57%
2019-06-26,-0.08%,1.36%,0.40%,3.41%,0.16%,1.70%,0.67%,-0.23%,0.16%,0.07%,-2.65%,0.00%,-4.98%
2019-06-27,1.33%,1.93%,1.82%,1.05%,0.99%,0.73%,0.38%,0.50%,1.98%,1.92%,0.34%,1.05%,0.72%
2019-06-28,-1.64%,-0.48%,-0.71%,-0.62%,-0.51%,0.02%,-1.33%,-0.85%,0.18%,0.28%,0.11%,0.15%,0.20%
2019-06-30,,,,,,,,,,,,,
2019-07-01,3.99%,2.94%,5.30%,2.23%,2.92%,3.69%,1.45%,2.67%,3.92%,4.07%,0.57%,2.83%,-1.02%
2019-07-02,-0.80%,-0.34%,-0.80%,1.30%,0.71%,1.02%,3.04%,-0.01%,0.38%,0.35%,0.90%,-0.72%,1.23%
2019-07-03,-1.85%,-1.24%,-1.84%,-2.29%,-1.02%,-1.03%,-1.39%,-0.15%,-1.52%,-2.00%,-0.56%,-0.87%,1.73%
2019-07-04,-0.41%,-0.46%,-0.51%,-2.14%,-0.48%,-1.30%,-0.56%,-0.24%,-1.89%,-1.50%,-1.12%,-0.88%,-2.20%
2019-07-05,0.41%,0.47%,0.19%,1.97%,0.77%,1.62%,2.17%,-0.09%,1.81%,2.15%,0.11%,0.67%,1.43%
2019-07-08,-4.03%,-2.22%,-3.05%,-2.28%,-2.27%,-2.98%,0.74%,-3.17%,-1.98%,-1.75%,-3.40%,-2.80%,-3.22%
2019-07-09,0.09%,0.24%,-0.07%,0.42%,-0.11%,0.08%,-0.18%,0.24%,0.34%,0.10%,0.12%,-0.38%,-1.14%
2019-07-10,-0.51%,-0.09%,-0.07%,0.14%,0.15%,-0.25%,-1.65%,-0.82%,-0.01%,0.11%,-1.52%,0.38%,-2.32%
2019-07-11,-0.69%,-0.60%,-0.37%,-0.07%,-0.47%,-0.01%,0.00%,-0.23%,-0.45%,-0.40%,1.43%,0.91%,4.31%
2019-07-12,0.17%,0.78%,0.46%,0.14%,0.27%,0.99%,-0.75%,0.37%,0.78%,0.77%,-0.12%,2.03%,-1.45%
2019-07-15,2.68%,1.11%,1.80%,-0.98%,1.00%,0.12%,3.29%,0.39%,-0.58%,-0.61%,0.70%,0.07%,0.63%
2019-07-16,0.08%,-0.40%,0.23%,-1.49%,-0.38%,-0.50%,0.18%,0.12%,-1.35%,-1.40%,0.12%,-0.66%,0.21%
2019-07-17,0.08%,-0.01%,0.91%,-0.58%,-0.17%,0.05%,2.18%,0.02%,-0.32%,-0.29%,-0.58%,0.00%,-0.83%
2019-07-18,-2.61%,-1.43%,-2.43%,-1.45%,-1.39%,-1.20%,-0.89%,-1.54%,-1.26%,-1.26%,0.00%,-0.15%,0.21%
2019-07-19,0.35%,0.63%,0.24%,0.44%,0.25%,0.53%,1.25%,0.71%,0.67%,0.68%,2.11%,0.96%,3.66%
2019-07-22,-2.06%,-0.56%,-0.60%,0.00%,1.32%,0.06%,-1.95%,0.80%,0.90%,0.36%,-3.21%,1.54%,-2.22%
2019-07-23,1.84%,1.16%,1.32%,0.00%,1.30%,0.55%,1.26%,1.30%,-0.90%,-1.10%,0.12%,-0.43%,-0.10%
2019-07-24,2.07%,1.34%,1.85%,0.73%,0.75%,1.10%,1.25%,0.96%,0.12%,0.06%,0.83%,1.89%,0.93%
2019-07-25,0.84%,0.87%,2.08%,-0.15%,0.53%,0.38%,1.32%,0.19%,0.87%,0.94%,-0.70%,0.64%,-0.92%
2019-07-26,-0.08%,0.60%,0.03%,2.11%,0.77%,0.62%,-0.61%,0.13%,0.04%,0.05%,-0.35%,0.28%,-0.83%
2019-07-29,0.08%,-0.33%,0.21%,-0.93%,0.04%,-0.39%,-0.17%,0.17%,0.66%,0.72%,-0.12%,-0.21%,0.31%
2019-07-30,0.08%,-0.07%,0.01%,0.07%,0.19%,0.82%,-0.70%,0.45%,-0.38%,-0.42%,1.07%,1.20%,2.18%
2019-07-31,-0.08%,-0.78%,-0.33%,-0.58%,-0.71%,-0.56%,-0.79%,-0.40%,-1.53%,-1.54%,0.00%,-1.61%,0.00%
2019-08-01,-0.59%,-0.15%,0.12%,-0.43%,-0.69%,-0.60%,0.80%,-0.17%,-1.25%,-1.27%,-0.59%,-0.36%,-3.25%
2019-08-02,-1.68%,-1.16%,-1.99%,0.87%,-0.80%,-0.23%,-1.06%,-1.32%,-0.75%,-0.71%,0.47%,-1.71%,0.84%
2019-08-05,-0.77%,-1.91%,-1.97%,-1.87%,-1.46%,-2.03%,-0.09%,-1.24%,-1.74%,-1.61%,0.94%,-1.67%,5.94%
2019-08-06,-2.59%,-0.42%,-1.50%,0.22%,-1.62%,-1.02%,-2.85%,-2.27%,-0.37%,-0.28%,-2.56%,-0.59%,-1.77%
2019-08-07,-1.60%,-0.64%,-1.17%,1.83%,-0.59%,1.15%,-1.93%,0.00%,-0.39%,-0.49%,3.47%,-0.82%,4.20%
2019-08-08,1.08%,1.35%,1.43%,2.08%,1.15%,2.74%,-0.37%,0.58%,1.47%,1.48%,-0.58%,1.50%,0.96%
2019-08-09,-2.05%,-0.74%,-1.64%,-0.14%,-0.98%,0.17%,-2.35%,-0.90%,-1.31%,-1.35%,-1.05%,-0.52%,-0.19%
2019-08-12,2.64%,1.68%,3.71%,1.06%,1.30%,2.60%,0.77%,1.61%,2.22%,2.56%,-0.47%,1.93%,-1.05%
2019-08-13,-1.24%,-1.29%,-1.04%,0.07%,-0.40%,-0.27%,-0.76%,-0.56%,-0.32%,-0.23%,1.18%,-1.82%,4.34%
2019-08-14,0.90%,0.28%,0.96%,2.23%,1.09%,1.59%,0.58%,0.66%,1.47%,1.61%,-0.70%,0.00%,-2.22%
2019-08-15,1.60%,0.88%,1.93%,0.00%,0.67%,0.39%,-0.77%,0.16%,-0.22%,-0.16%,-0.35%,0.81%,0.28%
2019-08-16,0.79%,0.00%,0.56%,0.75%,0.68%,1.84%,0.19%,0.11%,1.68%,1.50%,0.35%,0.44%,-0.19%
2019-08-19,4.52%,1.58%,4.42%,0.74%,2.68%,2.10%,0.48%,2.83%,1.19%,1.04%,1.06%,2.27%,-0.94%
2019-08-20,-0.42%,-0.34%,-0.15%,0.20%,0.06%,-0.97%,1.44%,-0.19%,0.52%,0.67%,0.93%,-0.64%,0.86%
2019-08-21,0.25%,1.29%,0.18%,-1.07%,0.67%,-0.57%,-1.70%,0.89%,-0.88%,-0.94%,-1.27%,0.36%,-1.51%
2019-08-22,0.00%,-0.59%,-0.13%,0.95%,0.49%,0.49%,0.67%,-0.02%,1.44%,1.68%,-0.12%,0.43%,-0.67%
